,Airport,Degree,Strength,Cluster_Coefficient,Average Length,Max Length,EigenVector Centrality,Betweenness,PageRank
33,ADA,7,7.0,0.71428571,5.34221848,12.0,0.05336155,86.13209062,0.00018651
62,AGU,7,7.0,0.76190476,5.17638879,12.0,0.02559141,37.68371295,0.00019367
115,AMS,192,192.0,0.14283377,4.2099746,11.0,0.85577995,264799.7485435,0.00401098
173,ATL,172,172.0,0.1378349,4.52885451,12.0,0.60864673,162809.45400881,0.00381899
239,BCN,80,80.0,0.32848101,5.29630424,12.0,0.44507124,12636.35135909,0.00160535
526,CHC,20,20.0,0.25263158,5.22628257,11.0,0.02089875,22021.5322141,0.00084125
725,DJE,20,20.0,0.7,5.3745885,12.0,0.15892481,953.83921258,0.00041071
925,FRA,237,237.0,0.11696346,4.35164967,11.0,0.97602259,428847.8032452,0.00496923
1712,LON,242,242.0,0.11234183,4.19376168,11.0,1.0,555788.52171987,0.00526564
1953,MOW,186,186.0,0.09584423,4.40847869,11.0,0.5823272,341434.48646073,0.00511005
2160,NYC,179,179.0,0.15755445,4.59452185,12.0,0.80100266,453081.88267624,0.00389207
2268,PAR,250,250.0,0.08915663,4.28330769,11.0,0.89986318,610925.94208172,0.00614411
2876,TBO,2,2.0,1.0,6.18249901,13.0,0.00061431,0.0,0.00012092
3233,WAW,55,55.0,0.45858586,5.27124608,12.0,0.37541514,10181.73242408,0.00115741
3613,ZVA,1,1.0,,9.1875381,16.0,1e-08,0.0,0.00013213
